questionText,options[0],options[1],options[2],options[3],correctAnswer
Idiom “A bed of roses” means:,A. comfortable.,B. an extremely thin person.,C. a difficult thing.,D. a big important person.,A. comfortable.
Idiom “A bed of thorns” means:,A. a difficult thing.,B. comfortable.,C. an extremely thin person.,D. a big important person.,A. a difficult thing.
Idiom “A beast of burden” means :,A. a person or animal used for carrying heavy loads or does hard work.,B. a wild animal used in the circus.,C. a dangerous animal.,D. a person who enjoys lifting weights.,A. a person or animal used for carrying heavy loads or does hard work.
Idiom “A big gun” means:,A. a big important person.,B. an extremely thin person.,C. a difficult thing.,D. comfortable.,A. a big important person.
Idiom “A bird of passage” means: ______________?,A. comfortable.,B. an extremely thin person.,C. a difficult thing.,D. a migratory bird.,D. a migratory bird.
Idiom “A bird’s eye view” means:,A. A view from a high or elevated position.,B. A very detailed view of something.,C. A view of something close up.,D. A perspective from a person’s point of view.,A. A view from a high or elevated position.
Idiom “A black sheep” means: ________________?,A. an extremely thin person.,B. a difficult thing.,C. person with bad reputation.,D. comfortable.,C. person with bad reputation.
Idiom “A blessing in disguise” means: __________?,A. A curse like a blessing.,B. a misfortune that results in something good.,"C. A situation where someone is tricked into thinking something good,",D. a blessing that is hidden from others.,B. a misfortune that results in something good.
Idiom “A blind alley ” means: ____________?,A. a street that leads to nowhere.,B. A shortcut to success.,C. place you can always find help.,D. a difficult situation with no solution or escape,D. a difficult situation with no solution or escape
Nafeesa is afraid ___________spiders?,A. from,B. in,C. about,D. of,D. of
Many species of insects were wiped _______ when the jungle was cleared.,A. Away,B. On,C. Out,D. Of,C. Out
My father was so poor _________?,A. That he could not buy us food,B. That who could not buy us food,C. To he could not buy us food,D. None of These,A. That he could not buy us food
What is the synonym of Placate?,A. Rouse,B. Harass,C. Pacify,D. None of the above,C. Pacify
Antonym of Sacrilegious is ________?,A. Pious,B. Impious,C. Profane,D. None,A. Pious
Idiom of ‘A pipe dream’ is ____________?,A. Unattainable dream,B. A day dream,C. A night dream,D. None,A. Unattainable dream
Antonym of Wrath is ____________?,A. Solace,B. Peace,C. Delight,D. None,C. Delight
Synonym of Feral is ______________?,A. Wild,B. Tame,C. Tamed,D. None,A. Wild
What is the meaning of gloss?,A. Dull,B. Brightness,C. Smoothness,D. None,B. Brightness
Antonym of Laborious is ________?,A. Diligent,B. Lazy,C. Frivolity,D. None,B. Lazy
Sell someone down the river means:,A. Deliberately kill (a person or animal) by drowning,B. Betray someone for personal profit or advantage,C. Hate someone to an extreme level,D. To destroy or get rid of someone,B. Betray someone for personal profit or advantage
Burn the midnight oil means:,A. Turn on light in late night,B. Work late into the night,C. Work hard to achieve something,D. Waste the resources,B. Work late into the night
Penny wise and pound foolish,A. Wise to spend each penny carefully,B. Careful about small amounts but careless about large amounts,C. People who don’t understand the importance of each penny,D. A part of life,B. Careful about small amounts but careless about large amounts
"Please, stop ________ so many mistakes.",A. To making,B. Making,C. Makes to,D. Make,B. Making
What is the meaning of the phrase ‘cry over split milk’?,A. Brief explanation,B. When you complain about a loss from the past,C. Express your feelings,D. Be sad over little things,B. When you complain about a loss from the past
‘Water under the bridge’ means:,A. A stagnant pond,B. Something that happened in the past and cannot now be changed,C. Alter facts or figures dishonestly or illegally,D. Unresolved issue or conflict,B. Something that happened in the past and cannot now be changed
What is the correct antonym of the word VELLEITY ?,A. whim,B. selenite,C. Galimatias,D. Disinclination,D. Disinclination
‘Be under the scanner’ means: ____________?,A. Being closely examined,B. Be under the watchful eye,C. Be under scrutiny,D. All of Above,D. All of Above
Idiom “hold the ring” means:,A. Monitor a dispute without becoming involved in it,B. Become involved in a conflict,C. Set the alarm,D. Make new ringtones,A. Monitor a dispute without becoming involved in it
Idiom “cook the books” means: _____________?,A. Alter facts or figures dishonestly or illegally,B. Read or write a lot of books,C. Give exact information,D. Come to an agreement,A. Alter facts or figures dishonestly or illegally
There was a ‘whiff of’ consensus on the proposed constitutional amendments during talks between the government and opposition. Here ‘whiff of’ means:,A. Lack of something,B. A slight sign of something,C. Disagreement on something,D. Quarrel on something,B. A slight sign of something
SCIENTIST : LABORATORY ::,A. Teacher : Classroom,B. Dentist : Drill,C. Lawyer : Client,D. Actor : playwrite,A. Teacher : Classroom
"Although officials claimed that it’s hull was _______, the Titanic sank after hitting an iceberg.",A. Iron made,B. Impenetrable,C. Prominent,D. Oval,B. Impenetrable
Muslim alchemists tried to attain wealth by _______copper and other base metals into gold.,A. Placing,B. Coin aging,C. Melting,D. Transforming,D. Transforming
A rumor that the corporation was close to the ________ caused panic among it’s creditors and stockholders.,A. New venture,B. Bankruptcy,C. Divided declaration,D. Annual BOD meeting,B. Bankruptcy
"Despite his illness, Inzamam was ________ in winning his team.",A. Disappointing,B. Useless,C. Vigorous,D. Instrumental,D. Instrumental
Maria forced herself to eat every piece on her plate; although she found the food practically______?,A. Delicious,B. Spicy,C. Inedible,D. Nourishing,C. Inedible
"But with the US and UK ‘egging on’ the Israelis, instead of reining in their rabid ally, it is difficult to foresee a negotiated denouement of this dangerous conflict. Here phrase ‘egging on’ means:",A. Embarrass,B. Strongly encourage,C. Feel ashamed,D. Make fool,B. Strongly encourage
American ‘sabre-rattling’ is unlikely to bring calm to a Middle East that is ready to explode. Here ‘sabre-rattling’ word means:,A. Threat of military force,B. Military aid,C. Unchecked financial support,D. Coercive measures,A. Threat of military force
"In their first debate, Kamala gets under Trump’s skin. Here “get under someone’s skin” means:",A. Irritate or upset someone,B. Do it with a lot of force and energy,C. To meet and spend time with someone,D. Say or do something that someone should not have,A. Irritate or upset someone
"Take something with a pinch of salt”, means:",A. Without wholly believing,B. Eat with some extra salt,C. Eat without salt,D. Believe something completely,A. Without wholly believing
Qureshi accuses prosecution of dilly-dallying. Here the word ‘dilly-dallying’ means:,A. Wasting time by being indecisive,B. Becoming hasty in decision making,C. Not cooperating with council,D. Not respecting because of political interference,A. Wasting time by being indecisive
What is the meaning of the idiom “Spill the beans”?,A. To make a mess,B. To reveal a secret,C. To tell a lie,D. To start a fight,B. To reveal a secret
"Be quids in, means:",A. To be making a profit,B. To suffer loss,C. To be in a situation,D. To be a part of a group,A. To be making a profit
The new TV series from the West Wing team is ready to roll. Here idiom ‘ready to roll’ means:,A. Near to be finished,B. Start to be ruined,C. Going to start soon,D. Ready to leave soon,C. Going to start soon
"Be pushing up the daisies, means:",A. Live for a long time,B. To be dead,C. Try hard for success,D. Trying something irrelevant,B. To be dead
"Follow hot on the heels of, means:",A. Happen very slowly,B. Happen very soon,C. Happen in hidden manner,D. Happen slow and secretly,B. Happen very soon
I have claim _____ you.,A. In,B. At,C. On,D. Over,C. On
He died ______ fever.,A. From,B. By,C. Of,D. In,C. Of
I’m sure to profit _____ his lecture.,A. From,B. At,C. By,D. On,A. From
"“In for a penny, in for a pound”, means:",A. Used to say: very expensive to purchase,B. Used to say: finish a project once started at any cost,C. Used to say: leave as soon as possible,D. Used to say: having an intense and,B. Used to say: finish a project once started at any cost
"‘To put your foot in your mouth’, means:",A. To behave immaturely,B. Compulsively bite or chew your skin,C. Say something unnecessary and,D. To remain silent until you are asked to speak,C. Say something unnecessary andembarrassing
"‘Keep a tight rein on’, means:",A. Exercise strict control over,B. Reign masses by force,C. Ride horse fast,D. Make uncomfortable,A. Exercise strict control over
"“Till the cows come home”, means:",A. Until evening time,B. For a very long time,C. Futile efforts everyday,D. Sometimes in a day,B. For a very long time
"‘Paint the town red’, means:",A. Make town colorful,B. Keep something secret,C. Go out and enjoy oneself,D. Show the sign of danger,C. Go out and enjoy oneself
"“To keep your nose clean”, means:",A. Drink extra fluids during flu to keep from getting dehydrated,B. Always remain clean and healthy,C. Avoid getting into trouble,D. Be quite and careful,C. Avoid getting into trouble
"‘Take a dim view of’, means:",A. Blur something,B. Take it easy,C. Pay no heed,D. Disapprove and criticize,D. Disapprove and criticize
"‘Wake up and smell the coffee’, means:",A. Rouse and enjoy morning coffee,B. Ignore every thing and enjoy,C. Realize the truth and facts,D. Be confident about yourself,C. Realize the truth and facts
"‘All hat and no cattle’, means:",A. Very impressive,B. All talk but no action,C. Much powerful and strong,D. Place without animals,B. All talk but no action
‘Without further ado’ means: ___________?,A. With no more trouble,B. With no more delay,C. With no more respect,D. With no more silence,B. With no more delay
Synonym of Infuriate is : ___________?,A. Threaten,B. Enrage,C. Burn,D. Disgrace,B. Enrage
which only one word is correctly spelt,A. promiscous,B. promiscuous,C. promiscuuous,D. promisscuous,B. promiscuous
Synonym of Garish is: _________?,A. Confused,B. Gaudy,C. Unusual,D. Exciting,B. Gaudy
Fast : Hunger : : Race : _________?,A. Horse,B. Smartness,C. Strength,D. Fatigue,D. Fatigue
Genuine : Authentic : : Mirage : _________?,A. Hideout,B. Illusion,C. Image,D. Reflection,B. Illusion
"Idiom, “Meat and potatoes”, means: ____________?",A. Important and necessary food,B. Important and basic parts of something,C. Unnecessary parts of something,D. Unpredictable things,B. Important and basic parts of something
What is the most opposite from the word ‘foe’?,A. Friend,B. Foul,C. Fail,D. Enemy,A. Friend
What word from the following is the most opposite from word ‘Stringent’?,A. Lieutenant,B. General,C. Meritorious,D. Lenient,D. Lenient
He had dared to challenge the views of an ‘august’ body of imperial historians. here ‘august’ word means:,A. Ordinary,B. Worthy of respect,C. Silly,D. None of These,B. Worthy of respect
“Make sheep’s eyes at” means: _________?,A. look at (someone) in a foolishly amorous way,B. Leer at,C. Gaze at,D. None of These,A. look at (someone) in a foolishly amorous way
Choose the appropriate meaning of the idioms from the choices given.  To keep the pot boiling.,A. To maintain interest,B. To heat,C. To show anger,D. To do experiments,A. To maintain interest
Everyone run ________ the thief.,A. After,B. With,C. For,D. on,A. After
I _________ to Islamabad with some friends last night.,A. have gone,B. went,C. am gone,D. am going,B. went
She was sitting  ________her mother.,A. Beside,B. Along,C. Across,D. None of These,A. Beside
“Cast pearls before swine” means:,A. Waste time on a bad activity,B. Offer something valuable to someone who does not know its value,C. Become very serious for your work,D. None of These,B. Offer something valuable to someone who does not know its value
“To give the devil his due” means: _________-?,A. Admit good qualities of someone you do not like,B. Be afraid of the enemy,C. Do not underestimate your enemy,D. All of These,A. Admit good qualities of someone you do not like
“A happy go lucky fellow” means:,A. A care free and vivacious person,B. A very lucky person,C. A very courageous person,D. A very lazy person,A. A care free and vivacious person
The prison has succeeded in reducing ‘recidivism’. The word ‘recidivism’ word means:,A. The tendency of a convicted criminal to reoffend,B. Going back to a previous behavior,C. Backsliding,D. All of These,D. All of These
Person living in a certain place?,A. Evict,B. Wild,C. Dictator,D. Domicile,D. Domicile
Stocks “eke out” gains amid growing political noise. Here “eke out” means?,A. Obtain something only with difficulty,B. Be ruined,C. Skyrocket without effort,D. Remain stable,A. Obtain something only with difficulty
Just good enough means?,A. Not sufficient time,B. An estimated criteria,C. Good for Circumstances,D. None of these,C. Good for Circumstances
Choose the correct antonym of ruthless:,A. Majestic,B. Grief,C. Merciful,D. Pity,C. Merciful
Synonym of Notorious is _______?,A. Fervour,B. Flagrant,C. Finesse,D. Festive,B. Flagrant
Choose the correctly written spelling from the following options?,A. Recrudescence,B. Recrudascence,C. Recrudescance,D. Recrudescince,A. Recrudescence
Tick the correct spelling of the given word in options.,A. Condescend,B. Condascend,C. Condescand,D. Condiscend,A. Condescend
Choose the correct spelling of the following word?,A. Auxuliary,B. Auxilliary,C. Auxiliary,D. Auxuiliarye,C. Auxiliary
“In toto” means: __________?,A. Partially,B. In danger,C. As a total or whole,D. Step by step,C. As a total or whole
The available information amounts to very little ‘in toto’. Here ‘in toto’ is?,A. Adjective,B. Adverb,C. Preposition,D. None of these,B. Adverb
A person who loves mountain:,A. Bibliophile,B. Photophile,C. Orophile,D. Selenophile,C. Orophile
The one-word substitution for “The breaking of an image” is:,A. Iconoclast,B. Iconography,C. Iconolater,D. Iconoclasm,D. Iconoclasm
What is the one-word substitution for  ‘Incapable of being Seized”,A. Impregnable,B. Inviolable,C. Unassailable,D. Invulnerable,A. Impregnable
_______Parrot of Pakistan is beautiful ?,A. a,B. an,C. The,D. None,C. The
Which of the following is a synonym for “riven by”?,A. United by,B. Strengthened by,C. Split by,D. Supported by,C. Split by
He is walking _____ road.,A. By,B. On,C. With,D. In,B. On
“Take the wind out of someone’s sails” means:,A. To change the direction of someone,B. To make someone feel less confident,C. To destroy someone,D. To make someone more confident,B. To make someone feel less confident
The government should not spend money on helping “lame ducks”. Here lame ducks  means:,A. Needy,B. Unsuccessful,C. Powerless,D. Inactive,B. Unsuccessful
"A large number of ammunition, weapons and explosives __________ recovered from the terrorists on Sunday.",A. Was,B. We’re,C. Has,D. Have,A. Was
The traveler enquired to the farmer if he could tell him the way to the nearest inn.,"A. The traveler said to the farmer, “Where is the nearest inn?”","B. The traveler said to the farmer, “Which is the way to the nearest inn?”","C. The traveler said to the farmer, “Can you tell me the way to the nearest inn?”","D. The traveler said to the farmer, “Can you tell me where is the nearest inn?”","C. The traveler said to the farmer, “Can you tell me the way to the nearest inn?”"
The idiomatic phrase “a month of Sundays” means,A. Time,B. A long time,C. A special Sunday,D. A short period,B. A long time
The phrase/ idiom “As right as rain” means:,A. Something is wet,B. Cloudy weather,C. Something is right,D. Something is perfect,D. Something is perfect
The Phrase/ idiom “See eye to eye” means:,A. Have a same look,B. Have a same countenance,C. Have a same opinion,D. Have a same eyes colour,C. Have a same opinion
The Phrase/ idiom “Elephant in the room” means:,A. A major issue,B. A minor problem,C. An idiot person,D. A giant man,A. A major issue
The Phrase ‘Clouds on the horizon’ means:,A. Frustration,B. Problems,C. Destruction,D. Thunder and lightning,B. Problems
A picture in water color on wall:,A. Epitaph,B. Epicure,C. Fatal,D. Fresco,D. Fresco
Animals having two feet:,A. Bigamy,B. Bulletin,C. Biped,D. Carnivore,C. Biped
A person who wants to destroy all government and orders:,A. Brail,B. Anarchist,C. Biped,D. Crank,B. Anarchist
‘To pull socks up’ means?,A. Take a bigger risk,B. Make an effort to improve work,C. Come to a halt,D. Stop doing something,B. Make an effort to improve work
What is the one-word substitution for the term “galling”?,A. Irritating,B. Infuriating,C. Relaxing,D. Satisfying,B. Infuriating
What is the nearest meaning of the phrase “bandy something around”?,A. To play with an object,B. To discuss something casually or exchange ideas informally,C. To argue intensely,D. To throw something away,B. To discuss something casually or exchange ideas informally
What is the nearest meaning of the word “protracted”?,A. Brief,B. Lengthy or prolonged,C. Intense,D. Rapid,B. Lengthy or prolonged
What is the nearest meaning of the word “wryly”?,A. Happily,B. Sarcastically,C. Seriously,D. None of These,B. Sarcastically
What is the nearest meaning of the phrase “hell to pay”?,A. A difficult task,B. A lively party,C. Severe consequences or trouble,D. An unexpected reward,C. Severe consequences or trouble
What is the nearest meaning of the word “scathing”?,A. Mild,B. Severe or harsh,C. Supportive,D. Praise,B. Severe or harsh
What does the word “indictment” signify?,A. Formal accusation,B. Strong evidence of serious flaws or wrongdoing,C. Legal charge,D. Moral condemnation,A. Formal accusation
What is the nearest meaning of the following idiom: “Brave the elements”?,A. Face difficult challenges,B. Fight with nature,C. Endure harsh weather conditions,D. Conquer fears,C. Endure harsh weather conditions
What is the nearest meaning of the following idiom: “Hold sway”?,A. Dance gracefully,B. Have control or influence,C. Manage a situation,D. Stand firm,B. Have control or influence
What is the nearest meaning of the following idiom: “Spring a tap”?,A. Pull a prank,B. Initiate a conversation,C. Trick someone into doing or saying something,D. Start an argument,C. Trick someone into doing or saying something
Which of the following is a synonym for “breakneck”?,A. Leisurely,B. Dangerous,C. Slow,D. Rapid,D. Rapid
Which of the following is a synonym for “square up”?,A. Avoid,B. Confront,C. Ignore,D. Mislead,B. Confront
Which of the following is a synonym for “corrode”?,A. Strengthen,B. Decay,C. Polish,D. Assemble,B. Decay
Which of the following is a synonym for “swathe of”?,A. Fragment of,B. Piece of,C. Strip of,D. Heap of,C. Strip of
Detect analogy :  Cap : Turban : Hat,A. Headgear,B. Umbrella,C. Hair,D. Safety,A. Headgear
choose the correct meaning of the idiom: ” To plough the sand”.,A. To make the desert bloom,B. To work in vain,C. To do a difficult work,D. To make the desert fertile,B. To work in vain
The cheque is____Habib Bank. Use suitable Preposition.,A. at,B. on,C. upon,D. up,B. on
The boy fell _______ the pond yesterday.,A. into,B. in,C. from,D. over,A. into
Synonym of Ratify is _____________?,A. Negotiate,B. Denounce,C. Approve,D. Challenge,C. Approve
Synonym of Quarry is _____________?,A. Trend,B. Prey,C. Decoy,D. Seeking explanation,B. Prey
"He says, ” They will hurt you”.",A. He said to me that they will hurt me.,B. He said to me that they would be hurt me.,C. He said to me that they would hurt you.,D. He said to me that they would hurt me.,D. He said to me that they would hurt me.
He tends to___________to any suggestion I make in meetings.,A. differ,B. agree,C. accept,D. cooperate,A. differ
Synonym of Notwithstanding is _______________?,A. in spite of,B. conclusion,C. Finally,D. none of above,A. in spite of
What is the Synonym of word ‘Winnow’ ?,A. Fuse,B. Sift,C. Espouse,D. Gather,B. Sift
Identify the correct spelling:,A. Commision,B. Comission,C. Comision,D. Commission,D. Commission
Choose the correct spelling from the followings?,A. Cemetary,B. Cemetery,C. Cemmetary,D. Cemmetery,B. Cemetery
Synonym of Abortive is ___________?,A. Unsuccessful,B. Productive,C. Consuming,D. Effective,A. Unsuccessful
Which spelling is correct?,A. Milennium,B. Millenium,C. Millennium,D. Milenium,C. Millennium
‘Vent one’s spleen’ means:,A. Express one’s joy,B. Express one’s anger,C. Let something out,D. None of These,B. Express one’s anger
Choose Correct Spelling?,A. Succide,B. Suicide,C. Sucide,D. Suiccide,B. Suicide
A disease that causes death:,A. Fatal,B. Congenital,C. Feather,D. None,A. Fatal
What does the idiom “to bear the brunt of” mean?,A. To enjoy the benefits of something,B. To take on the main force or impact of something,C. To avoid responsibility,D. To lead a group or effort,B. To take on the main force or impact of something
What does the idiom “have an axe to grind” mean?,A. To have a tool that needs sharpening,B. To be skilled at woodworking,C. To have a personal interest or grievance,D. To be ready for hard work,C. To have a personal interest or grievance
What does the idiom “to bury the hatchet” mean?,A. To hide evidence,B. To end a conflict and make peace,C. To postpone a decision,D. To prepare for battle,B. To end a conflict and make peace
What does the idiom ‘to call a spade a spade’ mean?,A. To dig for the truth,B. To use the correct tool for the job,C. To speak bluntly and truthfully,D. To disguise the truth with euphemisms,C. To speak bluntly and truthfully
Antonym of MELANCHOLY is _________?,A. sadness,B. joy,C. gloom,D. sorrow,B. joy
Antonym of ENTICE is _________?,A. attract,B. repel,C. lure,D. tempt,B. repel
Antonym of CAPRICIOUS is _________?,A. predictable,B. fickle,C. whimsical,D. impulsive,A. predictable
He is looking forward to _______ his bro.,A. see,B. seeing,C. saw,D. None of These,B. seeing
Synonym of CAPRICIOUS is _________?,A. impulsive,B. amusing,C. instinctive,D. carefree,A. impulsive
Choose correct spelling?,A. Mnemonics,B. Mnenomics,C. Nemonics,D. Nenomics,A. Mnemonics
He is very careful. He ____________ his children to drive his car in rush hour traffic.,A. does not allow,B. did not allow,C. allowed,D. allow,A. does not allow
Are we ____________ to leave on vacation?,A. already,B. altogether,C. all together,D. all ready,D. all ready
Ahmed was true to his ______________ when he saved the child’s life in the accident but asked for money as a favor from the child’s parents.,A. colors,B. tones,C. character,D. self,C. character
They have a(n) ___________ on the top prize in the competition.,A. advantage,B. edge,C. eye,D. vision,B. edge
"________me, I would be happy to dedicate a few extra hours for the humanitarian cause.",A. As of,B. As for,C. As from,D. D. None of These,B. As for
Our group will be____________ by your group at next intersection but the goal of both groups will remain same.,A. joined,B. replaced,C. ignored,D. influenced,A. joined
He is fond____Mangoes.,A. For,B. Of,C. At,D. Into,B. Of
Samra is good  _____ mathematics.,A. In,B. For,C. At,D. To,C. At
A lengthy and aggressive speech addressed to a large assembly.,A. Cacophony,B. Harangue,C. Hullabaloo,D. Pandemonium,B. Harangue
What is the similar meaning of Seminal?,A. Destructive,B. Diverging,C. Influential,D. Disguised,C. Influential
He is blind _________ one eye.,A. in,B. of,C. to,D. with,A. in
They are enjoying swimming.  What is ” swimming ” according to grammar?,A. Verb,B. Adjective,C. Noun,D. Adverb,C. Noun
Synonym of ” inane ” is ______________.,A. lifeless,B. senseless,C. hopeless,D. faithless,B. senseless
Synonym of “cryptic” is ____________.,A. obscure,B. written,C. copied,D. None of These,A. obscure
A doctor who treats children is called __________.,A. Pedophile,B. Fatalist,C. Pediatrician,D. Pedagogue,C. Pediatrician
He met a man who lived in USA last year. What is ” who ” according to grammar here?,A. Interrogative Pronoun,B. Distributive Pronoun,C. Relative Pronoun,D. Reciprocal Pronoun,C. Relative Pronoun
A person who is unable to pay his debts is called ___________.,A. Borrower,B. Insolvent,C. Lender,D. Allen,B. Insolvent
Always try to be polite _____ others.,A. with,B. to,C. for,D. on,B. to
"My father said to me, ” You must work hard”.",A. My father said to me that I must work hard,B. My father said to me that you must work hard,C. My father said to me that I had to work hard,D. My father said to me that I have to work hard,C. My father said to me that I had to work hard
“Give cold shoulder” means__________?,A. To support,B. Cold meat,C. To ignore,D. Shiver,C. To ignore
Which form of verb is usually used in “Passive Sentences”?,A. First Form,B. Second Form,C. Third Form,D. None,C. Third Form
"Mother said, “Where are you going? “",A. Mother said me where I am going.,B. Mother said to me where are you going.,C. Mother asked where I was going.,D. Mother asked me where I am going.,C. Mother asked where I was going.
He opened a current account _______ the bank last week.,A. in,B. at,C. on,D. into,B. at
He is ill ____________ fever?,A. of,B. with,C. in,D. from,B. with
There is no use ___going there at this time.,A. at,B. in,C. on,D. of,B. in
He will not turn ______________ my respect,A. on,B. over,C. down,D. None of these,C. down
"In the test, we will _________ your work and then give you detailed feedback.",A. assess,B. judge,C. measure,D. check,A. assess
What does mean of ‘Lotus-eater’?,A. Man of no substance,B. Honorary and reputable,C. A person full of laziness,D. A destructive man never be conqueror,C. A person full of laziness
What does mean by idiom ‘To kill a mockingbird’?,A. Destroy one’s innocence,B. To kill one who copies,C. Hit a man with a pebble,D. Eradication of moral values,A. Destroy one’s innocence
Antonym of ARTIFICIAL is ______________?,A. Red,B. Solid,C. Truthful,D. Natural,D. Natural
Select the word which is spelled correctly?,A. Benefited,B. benifited,C. benifitted,D. None of These,A. Benefited
Synonym of Gaol is ___________?,A. Purpose,B. Quod,C. Objective,D. None of These,B. Quod
Which country launched its first operational earth observation satellite “Taifa-1?,A. Kenya,B. Nigeria,C. Ethiopia,D. Tanzania,A. Kenya
A person living permanently in a certain place.,A. Resident,B. Native,C. Domicile,D. Subject,C. Domicile
A person who is indifferent to pains and pleasure of life:,A. Stoic,B. Sadist,C. Psychiatrist,D. Aristocrat,A. Stoic
Choose the correct spellings.,A. Qoloquial,B. Coloquial,C. Colloqial,D. Colloquial,D. Colloquial
My room is infested _________ insects.,A. In,B. On,C. From,D. With,D. With
The planes flew in formation _________ the fields.,A. On,B. Above,C. At,D. Over,D. Over
Antonym of EXPAND is _____________?,A. Congest,B. Conclude,C. Convert,D. Condense,D. Condense
Write the synonym of “admonish”?,A. defeat,B. defend,C. destroy,D. counsel,D. counsel
synonym of word Luscious:,A. Loathe,B. Succulent,C. Abet,D. Unappetizing,B. Succulent
Synonym of abhor?,A. love,B. hate,C. prefer,D. admire,B. hate
The Collins Dictionary’s word of the year for 2022 is: __________?,A. Moribund,B. Vax,C. permacrisis,D. Succulent,C. permacrisis
Can you repair _____ compter in Liam’s office? It’s not working.,A. a,B. the,C. an,D. none of these,B. the
Everyone who works in this department uses ___________ computer.,A. a,B. the,C. an,D. none of these.,A. a
“Xenzia” is the synonym of __________?,A. Extrovert,B. Reserved,C. Outspoken,D. Gregarious,B. Reserved
Bring forward means?,A. Produce,B. Show up,C. Clarify,D. None of These,A. Produce
Change the voice “Set the thief to catch the thief”.,A. Let the thief to catch the thief,B. Let the thief be set to catch the thief,C. Thief is set to catch the thief,D. None of These,B. Let the thief be set to catch the thief
A black and white cow ________ grazing in the field.,A. is,B. are,C. were,D. None of These,A. is
He is _________ doctor.,A. a,B. an,C. the,D. no article,A. a
