questionText,options[0],options[1],options[2],options[3],correctAnswer
Who is the Current Vice President of United States?,A. John Kerry,B. James David Vance (J.D Vance),C. Mike Pence,D. Kamala Harris,B. James David Vance (J.D Vance)
who was the author of first pushto novel?,A. Sher Zaman Tayezi,B. Syed Rasool Rasa,C. Rahat Zakheli,D. Hafiiz Idreed,C. Rahat Zakheli
"On 1961,Which flower was declared the national flower of Pakistan?",A. Rose,B. Jasmine,C. Sunflower,D. Lotus,B. Jasmine
When did Gilgit Baltistan gain independence ?,A. 1ST November 1948,B. 1ST November 1949,C. 1ST November 1947,D. 1ST November 1946,C. 1ST November 1947
Which is the Parent Company of TikTok?,A. Tencent,B. ByteDance,C. Alibaba,D. Baidu,B. ByteDance
Which is the national bird of Pakistan ?,A. Markhor,B. Parrot,C. Pigeon,D. Chakor,D. Chakor
National Reptile of Pakistan is_________?,A. Rho fish,B. Indus dolphin,C. Mugger Crocodile,D. All of these,C. Mugger Crocodile
Which two countries does the Wakhan Corridor separate?,A. Afghanistan and China,B. Tajikistan and Pakistan,C. Afghanistan and Iran,D. Pakistan and India,B. Tajikistan and Pakistan
What is the Wakhan Corridor?,A. A region in Pakistan’s Punjab province,"B. A thin, mountainous strip in Afghanistan’s northeastern Badakhshan province",C. A disputed territory between India and Pakistan,D. A valley in the northern part of India,"B. A thin, mountainous strip in Afghanistan’s northeastern Badakhshan province"
Which one of the following is the Saltiest Ocean in the world?,A. Atlantic Ocean,B. Pacific Ocean,C. Indian Ocean,D. Artic Ocean,A. Atlantic Ocean
"The President of the 79th UN General Assembly, Philemon Yang belong to belongs to which country ?",A. North Korea,B. South Korea,C. Cameroonian,D. Portugal,C. Cameroonian
In which type of climate are coniferous forests found?,A. Savana,B. Mediterranean,C. Siberian,D. Hot desert,C. Siberian
The Current Secretary-General of the United Nations (UN) is: _________?,A. Kofi Annan,B. Ban Ki-Moon,C. António Guterres,D. Boutros Boutros-Ghali,C. António Guterres
What type of earthquakes occur in the Himalayan region?,A. Volcanic earthquakes,B. Tectonic earthquakes,C. Collapse earthquakes,D. Human-induced earthquakes,B. Tectonic earthquakes
Which city in the Himalayan region is considered to be at high risk of earthquake damage,A. Kathmandu,B. New Delhi,C. Lahore,C. Dhaka,B. New Delhi
Arabian desert is in ____________.?,A. Eastern Asia,B. Eastern Africa,C. Eastern Europe,D. Western Asia,D. Western Asia
Treaty of Waitangi Was singed by _________ and the British Crown?,A. European,B. Mangols,C. Maori Chiefs,D. None of These,C. Maori Chiefs
Treaty of Waitangi Was singed in ____________?,A. 1970,B. 1709,C. 1840,D. None of These,C. 1840
Gibraltar Strait connect the Atlantic Ocean and ____________?,A. The Red Sea,B. The Mediterranean Sea,C. The Atlantic Ocean,D. Sea of Marmara,B. The Mediterranean Sea
Which of the following is Currency of China?,A. Yuan,B. Yen,C. Dinar,D. Rupee,A. Yuan
A person who has been unusual habits is ___________?,A. Eccentric,B. Misogynist,C. Misogamist,D. None,A. Eccentric
Where is tower bridge located ?,A. London,B. Peris,C. Glasgow,D. Liverpool,A. London
When is Nelson Mandela’s day celebrated?,A. July 17th,B. July 18th,C. July 19th,D. July 20th,B. July 18th
The name of Turkish currency is _________?,A. Takka,B. Riyal,C. Lira,D. None,C. Lira
Cape Drastis Beach is located in __________?,A. Spain,B. Greece,C. Germany,D. Uk,B. Greece
Hvar Beach is located in ___________?,A. Spain,B. Greece,C. Croatia,D. USA,C. Croatia
Psephology is the scientific study of: _____________?,A. Human Brain,B. Beekeeping,C. Elections,D. Wars,C. Elections
"In about 500 B.C., the city of Taxila was the center of:__________?",A. Gandhara civilization,B. Indus Valley civilization,C. Greek civilization,D. Persian civilization,A. Gandhara civilization
DIET is the parliament of which country?,B. Japan,C. Jordan,D. Oman,D. None of These,B. Japan
Who is the author of the book “Eating Grass: The Making of the Pakistani Bomb”?,A. Shuja Nawaz,B. Abdul Sattar,C. Brigadier(R) Feroz Hassan Khan,D. Bob Woodward,C. Brigadier(R) Feroz Hassan Khan
Book “Don’t Sweat the Small Stuff and It’s All Small Stuff” is written by:_____________?,A. Bob Woodward,B. David Page,C. Richard Carlson,D. James Clear,C. Richard Carlson
The ‘1954 Daigo Fukuryu Maru’ incident is related to: __________?,A. The United States Atomic Bomb Attack on Nagasaki,B. The United States Castle Bravo thermonuclear weapon test at Bikini Atoll,C. The First Atomic Bomb Test by United States,D. The Fukushima accident in nuclear power plant in Japan,B. The United States Castle Bravo thermonuclear weapon test at Bikini Atoll
The ‘Daigo Fukuryu Maru’ incident occured in: __________?,A. 1945,B. 1948,C. 1950,D. 1954,D. 1954
"Book “War”, recently released on October 15, 2024, is written by: ___________?",A. Josef Korbel,B. Bob Woodward,C. George S. Patton,D. Barack Obama,B. Bob Woodward
Which is the Oldest University of Pakistan?,"A. University of the Punjab, Lahore","B. University of Agriculture, Faisalabad","C. Sindh Madressatul Islam University, Karachi",D. None of These,"A. University of the Punjab, Lahore"
The famous ‘Tower of the Reformer’ is located in: ___________?,A. Guatemala City,B. Singapore City,C. Kuwait City,D. Mexico City,A. Guatemala City
Who wrote the book ” World Order”?,A. Karl Marx,B. Henry Kissinger,C. Francis Fukuyama,D. Bertrand Russell,B. Henry Kissinger
Which is the least visited country in the world?,A. Tuvalu,B. Maldives,C. Nauru,D. Bhutan,A. Tuvalu
An American air defense system “THAAD” stands for ____________?,A. Territory High Altitude Air Deception,B. Terminal High Altitude Area Defense,C. Territorial High Ariel Across Defense,D. Tight High Altitude Area Direction,B. Terminal High Altitude Area Defense
Book “War As I Knew It” was written by: ____________?,A. Gen S. Patton,B. Gen Parvez Musharraf,C. Leo Tolstoy,D. Jimmy Carter,A. Gen S. Patton
Book ‘The Scarlet Sword’ is written by: __________?,A. Herbert Ernest Bates,B. David Page,C. Alastair Lamb,D. Patrick Balfour,A. Herbert Ernest Bates
When was the ‘Convention on Cluster Munitions’ adopted?,A. 2000,B. 2004,C. 2008,D. 2012,C. 2008
Peace Memorial Park in Japan was built in the memory of: ____________?,A. WW-II Survivors,B. Atomic Bomb Victims,C. WW-II Victims,D. Atomic Bomb Survivors,B. Atomic Bomb Victims
Peace Memorial Park is located in which country?,A. China,B. Russia,C. Japan,D. France,C. Japan
‘Soumaya Museum’ is located in: ___________?,A. Washington D. C.,B. Mexico City,C. Singapore City,D. Ottawa,B. Mexico City
How many member countries are there in the Shanghai Cooperation Organisation (SCO)?,A. 7 members,B. 8 members,C. 9 members,D. 10 members,D. 10 members
Who is the author of the book “Prelude to Partition: The Indian Muslims and the Imperial System of Control”?,A. Dr. David Page,B. Shuja Nawaz,C. Alastair Lamb,D. William Crawley,A. Dr. David Page
‘Wind Sculpture in Bronze’ is the artwork of: _________?,A. Yinka Shonibare,B. Edvard Munch,C. Vincent van Gogh,D. Jackson Pollock,A. Yinka Shonibare
"The theme for the International Day of the Girl Child celebrated on 11th October, 2024 was ___________-?",A. Girls’ Vision for the future,B. Girls’ foundation of the world,C. Girls’ An agent of Change,D. Girls’ Ambassadors of Peace,A. Girls’ Vision for the future
The International Day of the Girl Child is celebrated every year on ___________?,A. 11th July,B. 11th August,C. 11th September,D. 11th October,D. 11th October
What is the theme of World Mental Health Day 2024?,A. Mental Health at Work,B. Mental Health Matters Much,C. Prefer Mental Health,D. Mental health is a universal human right,A. Mental Health at Work
World Mental Health Day is observed every year on _____________?,A. 10 July,B. 10 August,C. 10 September,D. 10 October,D. 10 October
"World’s first YouTube video was uploaded by its Co-founder ‘Jawed Karem’ in April 23, 2005 ,with the name: ___________?",A. Hello ! Here I am.,B. Hey! It’s your World,C. Did you tube it?,D. Me at the Zoo,D. Me at the Zoo
"World’s first YouTube video was Uploaded in April ,2005 by ____________?",A. Jack Ma,B. Ali Baba,C. Lady Gaga,D. Jawed Karim,D. Jawed Karim
World Post Day is observed each year on___________?,A. 8th October,B. 9th October,C. 10th October,D. 11th October,B. 9th October
Pakistan’s Highest mountain range K2. The second highest mountain in Pakistan is: __________?,A. Nanga Parbat,B. Gasherbrum I,C. Broad Peak,D. Rakaposhi,A. Nanga Parbat
"The Theme for World Smile Day Celebrated on 6th October, 2024 was ___________?",A. A Person may Smile and Smile; Yet be a Villain,B. Smile Now or Never,C. DO an act of Kindness. Help one Person Smile,"D. Have a big laugh ,Gentle Smile and Move on in life",C. DO an act of Kindness. Help one Person Smile
Which day is observed as World Cotton Day?,A. 6th October,B. 7th October,C. 8th October,D. 9th October,B. 7th October
World Teachers’ Day is celebrated on_______________?,A. 20th October,B. 15th January,C. 10th October,D. 5th October,D. 5th October
Who is author of the book “Incomplete Partition: The Genesis of the Kashmir Dispute”?,A. Alastair Lamb,B. Shuja Nawaz,C. Mathew Hull,D. Khursheed Kamal Aziz,A. Alastair Lamb
Which of the following country is the smallest by area?,A. Vatican city,B. Monaco,C. Nauru,D. Tuvalu,A. Vatican city
What is associated with DOLLMEN?,A. Country,B. Statue,C. Stone,D. Cloth,C. Stone
National Day of China is: ___________?,A. September 30,B. October 1,C. October 5,D. September 25,B. October 1
The World Tourism Day observed every year on _________?,A. 25th September,B. 26th September,C. 27th September,D. 28th September,C. 27th September
When Human Rights Watch (HRW) adopted its current name “HRW”?,A. 1975,B. 1978,C. 1988,D. 1981,C. 1988
Human Rights Watch (HRW) was founded in 1978 as: _____________?,A. Washington Watch,B. Helsinki Watch,C. Rights Watch,D. Discriminated Community Watch,B. Helsinki Watch
Which is the deepest lake of the world ?,A. Lake Baikal,B. Caspian Lake,C. Wular Lake,D. Lake Victoria,A. Lake Baikal
Pearl of Indian Ocean is called?,A. India,B. Maldives,C. Sri Lanka,D. Bhutan,C. Sri Lanka
What is the national game of Pakistan?,A. hockey,B. Tennis,C. Cricket,D. Archery,A. hockey
The Security Council originally consisted of 11 members. When was an amendment to the UN Charter made to increase Security council membership to 15?,A. 1965,B. 1960,C. 1970,D. 1972,A. 1965
Which is the Independence Day of Brazil?,A. August 7,B. September 7,C. October 7,D. December 7,B. September 7
"Who wrote the book ‘Ayub, Bhutto, and Zia’?",A. Atif Ali chuahan,B. Sayad Shabbir Hussain,C. Ayesha jalal,D. none of these,B. Sayad Shabbir Hussain
Incheon International Airport is located in: ____________?,A. North Korea,B. China,C. South Korea,D. Taiwan,C. South Korea
The highest mountains range of the world is known as ___________?,A. The Andes,B. The Himalayas,C. The Hindu-Kush,D. The Karakoram,B. The Himalayas
PTI is the news agency of __________?,A. India,B. Pakistan,C. Nepal,D. Russia,A. India
QNA is the news agency of __________?,A. Qatar,B. Kuwait,C. Jordon,D. Bahrain,A. Qatar
‘Starry Night’ (1889) is the painting of:___________?,A. Vincent Van Gogh,B. Leonardo Da Vinci,C. Johannes Vermeer,D. Pablo Picasso,A. Vincent Van Gogh
"The Book ‘Government of Paper The Materiality of Bureaucracy in Urban Pakistan’, is written by:___________?",A. Shuja Nawaz,B. Mathew Hull,C. Tariq Ali,D. Kenneth M. Pollack,B. Mathew Hull
Book “Asia and Europe” is written by: _____________?,A. Meredith Townsend,B. Shuja Nawaz,C. Tariq Ali,D. Steve Spencer,A. Meredith Townsend
Where is SCO’s standing body the “Executive Committee of the Regional Anti-Terrorist Structure (RATS)” based?,A. Shanghai,B. Delhi,C. Moscow,D. Tashkent,D. Tashkent
RAWA stands for: ___________?,A. Revolutionary Association of the Women of Afghanistan,B. Revolutionary Afghan Women Association,C. Right Activist Women of Afghanistan,D. Regional Association of Women of Afghanistan,A. Revolutionary Association of the Women of Afghanistan
Which one of the following is the largest freshwater island in the world?,A. Manitoulin Island,B. Santorini Island,C. Sumatra Island,D. Capri Island,A. Manitoulin Island
Which Central Asian Republic touches the border of other central Asian Republic?,A. Tajikistan,B. Pakistan,C. Uzbekistan,D. All of them,C. Uzbekistan
‘Astro Turf’ is a term related to which sports: _________?,A. Cricket,B. Tennis,C. Hockey,D. None of These,C. Hockey
‘Burning Man’ is a Festival celebrated in __________?,A. Poland,B. USA,C. Brazil,D. Spain,B. USA
The deepest place in the Indian Ocean is_____?,A. Mariana Trench,B. Puerto Rico Trench,C. Diamantina  Trench,D. Java Trench,D. Java Trench
Saba is the news agency of _________.,A. Indonesia,B. Syria,C. Yemen,D. Jordan,C. Yemen
SANA is the news agency of _________.,A. Saudi Arabia,B. UAE,C. Syria,D. Yemen,C. Syria
YONHAP is the news agency of __________?,A. SOUTH KOREA,B. NORTH KOREA,C. TAIWAN,D. NEPAL,A. SOUTH KOREA
XINHUA is the news agency of __________?,A. CHINA,B. KOREA,C. SINGAPORE,D. BANGLADESH,A. CHINA
VNA is the news agency of ___________?,A. vietnam,B. nigeria,C. argentia,D. algeria,A. vietnam
SLENA is the news agency of ________?,A. Sierra Leone,B. Norway,C. Bulgaria,D. Rome,A. Sierra Leone
SPA is the news agency of __________?,A. Saudi Arabia,B. US,C. UAE,D. Bangladesh,A. Saudi Arabia
TAP is the news agency of ___________?,A. Tunisia,B. Russia,C. Britain,D. Pakistan,A. Tunisia
TT is the news agency of ___________-?,A. Sweden,B. India,C. Uk,D. Qatar,A. Sweden
SAPA is the news agency of _________?,A. South Africa,B. Sweden,C. Ukraine,D. Finland,A. South Africa
PPI is the news agency of ____________?,A. Pakistan,B. India,C. Nepal,D. Russia,A. Pakistan
PNA is the news agency of ________?,A. Philippines,B. Britain,C. united states,D. Croatia,A. Philippines
Petra is the news agency of ________?,A. jordon,B. austria,C. bulgaria,D. india,A. jordon
PAP is the news agency of ________?,A. Philippines,B. Poland,C. Norway,D. China,B. Poland
ONA is the news agency of __________?,A. Oman,B. Portugal,C. India,D. China,A. Oman
NTB is the news agency of __________?,A. Norway,B. Britain,C. Poland,D. Russia,A. Norway
Notimex is the news agency of ____________?,A. Canada,B. Norway,C. nether land,D. Mexico,D. Mexico
NAN is the news agency of ___________?,A. Chad,B. Nigeria,C. Netherlands,D. Sweden,B. Nigeria
MAP is the news agency of _________?,A. Malaysia,B. Malawi,C. Morocco,D. none of these,C. Morocco
MENA is the news agency of _________?,B. Egypt,C. Iran,D. Saudi Arabia,,B. Egypt
LETA is the news agency of ___________?,A. lativa,B. egypt,C. norway,D. sweden,A. lativa
KUNA is the news agency of _________?,A. Pakistan,B. kuwait,C. india,D. iran,B. kuwait
The Secretariat of common wealth heads of government meeting (CHOGM) is at ___________?,A. London,B. Geneva,C. New York,D. Paris,A. London
ANSA( ageniza nazionale stampa associata) is the news agency of _______?,A. Italy,B. India,C. United states,D. Pakistan,A. Italy
ANGOP is the news agency of ___________?,A. austria,B. united states,C. france,D. angola,D. angola
ANA-MPA ( Athens France-press) is the news agency of ___________?,A. England,B. Greece,C. India,D. Cyprus,B. Greece
AAP (Australian Associated Press) is the news agency of ______________?,A. England,B. Italy,C. France,D. Australia,D. Australia
"Book, ‘The Assassins Gate: America in Iraq’, is written by: __________?",A. John J. Mearsheimer,B. Stephen Walt,C. George Packer,D. Fatima Bhutto,C. George Packer
Ujjain is state of ________Country.,A. USA,B. India,C. Indonesia,D. Myanmar,B. India
Which is the only country in the world in which there is Day in one Part and night in the other ?,A. Sweden,B. Norway,C. Russia,D. Ukraine,C. Russia
"in the _________, hindu kash range merges with pamir plateau.",A. east,B. west,C. north,D. south,C. north
some peaks of hindu kash range are higher than _________ meters in altitude.,A. 3000,B. 9000,C. 7000,D. 5000,D. 5000
the Hindu Kush range guards the____________ border of Pakistan.,A. west-eastern,B. east-southern,C. north-southern,D. north-western,D. north-western
"the _______ pass connects Chitral, Pakistan with Wakhan corridor in Afghanistan.",A. khunjerab,B. khyber,C. boroghil,D. gilgit,C. boroghil
the hindu kash range is a continuation of the __________range.,A. karakoram,B. himalaya,C. sulaiman,D. none of these,A. karakoram
The Hindu kush range extends westward into __________?,A. China,B. Afghanistan,C. India,D. Pakistan,B. Afghanistan
Iran is the ____member of the Shanghai Cooperation Organization (SCO)?,A. 8th,B. 6th,C. 9th,D. 7th,C. 9th
When did North Korea withdrew the NPT?,A. 2008,B. 2005,C. 2003,D. 2004,C. 2003
Where is Bhodesar mosque?,A. Mithi,B. Umarkot,C. Nangarparkar,D. Diplo,C. Nangarparkar
Which Team has won 6th time Mens hand ball World championship -2017?,A. France,B. Spain,C. Iceland,D. UK,A. France
World’s longest non-stop commercial flight starts from Qatar and lands in_____________?,A. New Zealand,B. Landon,C. Los Angelas,D. Australia,A. New Zealand
"Donald Trump sworn in as __________th US president on January 20, 2017 ?",A. 45th,B. 46th,C. 47th,D. 48th,A. 45th
Current General Secretary of UNO belongs to?,A. Japan,B. Portugal,C. Sweden,D. Uzbekistan,B. Portugal
Who is Newly appointed General Secretary of UNO on 31st December 2016?,A. Antonio Guterreson,B. Ban-ki-moon,C. Peter Thomson,D. none of these,A. Antonio Guterreson
The 2017 Heart of Asia – Istanbul Ministerial Process will be hosted by which country?,A. Pakistan,B. India,C. Bhutan,D. Azerbaijan,D. Azerbaijan
"Heart of Asia – Istanbul Ministerial Process on December 3 to December 4, 2016 was hosted by which country?",A. Pakistan,B. India (Amritsar city),C. Bhutan,D. Iran,B. India (Amritsar city)
"The Largest flag ever made,weight at 5 ton with 44 miles of Thread,certified by Guinness world record belong to which country?",A. Pakistan,B. Romania,C. US,D. China,B. Romania
The Nhill lake is located in which country?,A. New Zealand,B. Australia,C. South Africa,D. None of these,B. Australia
How many people died in sinking of titanic?,"A. 1,517",B. 759,C. 2000,D. 1380,"A. 1,517"
Asian Men’s Hockey Champions Trophy-2016 held in?,A. Malaysia,B. India,C. Indonesia,D. Maldives,A. Malaysia
"King Bhumibol, world’s longest-reigning monarch has died at age 88 in October-2016 belong to?",A. Japan,B. Nepal,C. Singapore,D. Thailand,D. Thailand
